sqft,rooms,bathrooms,construction_date,renovation_date,zip_code,floors,broadband_access,price
1760,2,2,1951,1951,30342,2,0,350881
2194,4,4,2016,2016,30308,1,0,385216
2030,5,2,1961,1965,30305,2,0,300983
1995,2,3,1969,1971,30342,3,0,376905
2538,4,4,1954,1961,30309,2,1,458814
3069,5,3,1986,1986,30309,2,0,547136
1366,3,1,1987,1987,30327,1,1,287200
2138,4,2,1958,1970,30342,1,1,391217
1230,5,1,2002,2002,30327,2,1,297826
2382,5,1,1993,1993,30308,3,1,453303
3035,4,1,1973,1974,30342,3,0,506605
1030,3,1,1979,1979,30308,1,0,194974
2585,4,2,2008,2022,30327,3,0,478888
1669,5,1,1963,1963,30342,1,1,346859
3291,2,2,1958,1958,30327,3,1,554526
2415,2,2,1989,1996,30342,2,1,460553
3333,4,3,2015,2015,30327,1,1,627995
2115,5,4,1974,1974,30309,1,1,375403
1855,2,4,1971,1971,30327,2,0,374184
3224,5,2,1953,1953,30309,1,1,572628
2084,4,3,1975,1975,30327,3,0,435453
1359,2,2,2007,2007,30342,3,1,255765
921,5,2,1978,1978,30342,1,1,239577
3200,2,2,1986,1993,30342,3,0,519372
1647,4,3,2019,2019,30305,1,0,268173
1374,5,4,1967,1967,30308,2,1,291202
1982,2,3,1991,1993,30342,1,1,393321
3458,4,1,1990,1995,30309,2,1,595196
2947,2,3,1987,1987,30342,3,1,557203
1875,2,3,1983,1991,30305,2,0,370447
2706,3,3,1966,1966,30309,3,1,471748
1089,3,3,1986,1986,30305,1,0,296933
1462,4,4,1974,1974,30309,3,1,307960
2799,3,1,1976,1982,30327,1,0,531411
2167,4,4,2006,2006,30308,1,0,352729
2428,3,4,1980,1980,30308,2,1,475943
1546,2,3,1955,1955,30305,2,0,267380
2968,4,2,1989,1990,30308,2,1,469491
3114,4,2,1961,1961,30305,2,0,523113
2197,2,4,2002,2002,30305,3,1,402976
3335,4,4,2020,2029,30305,3,0,609251
1500,4,3,1959,1959,30308,3,1,315276
3263,3,4,1994,1994,30305,1,1,534221
2961,4,3,1966,1966,30308,3,0,528022
1141,5,2,1975,1980,30305,3,0,231311
2941,2,2,2011,2011,30342,3,0,572471
2263,3,1,1995,2003,30305,2,0,388321
3039,3,2,2013,2025,30309,3,1,530589
