sqft,rooms,bathrooms,construction_date,renovation_date,zip_code,floors,price,has_pool
1760,2,2,1951,1951,30342,2,350881,0
2194,4,4,2016,2016,30308,1,405216,1
2030,5,2,1961,1965,30305,2,320983,1
1995,2,3,1969,1971,30342,3,376905,0
2538,4,4,1954,1961,30309,2,478814,1
3069,5,3,1986,1986,30309,2,567136,1
1366,3,1,1987,1987,30327,1,287200,0
2138,4,2,1958,1970,30342,1,391217,0
1230,5,1,2002,2002,30327,2,317826,1
2382,5,1,1993,1993,30308,3,453303,0
3035,4,1,1973,1974,30342,3,506605,0
1030,3,1,1979,1979,30308,1,194974,0
2585,4,2,2008,2022,30327,3,478888,0
1669,5,1,1963,1963,30342,1,346859,0
3291,2,2,1958,1958,30327,3,554526,0
2415,2,2,1989,1996,30342,2,460553,0
3333,4,3,2015,2015,30327,1,647995,1
2115,5,4,1974,1974,30309,1,375403,0
1855,2,4,1971,1971,30327,2,394184,1
3224,5,2,1953,1953,30309,1,592628,1
2084,4,3,1975,1975,30327,3,455453,1
1359,2,2,2007,2007,30342,3,255765,0
921,5,2,1978,1978,30342,1,239577,0
3200,2,2,1986,1993,30342,3,539372,1
1647,4,3,2019,2019,30305,1,268173,0
1374,5,4,1967,1967,30308,2,311202,1
1982,2,3,1991,1993,30342,1,393321,0
3458,4,1,1990,1995,30309,2,595196,0
2947,2,3,1987,1987,30342,3,577203,1
1875,2,3,1983,1991,30305,2,390447,1
2706,3,3,1966,1966,30309,3,491748,1
1089,3,3,1986,1986,30305,1,296933,0
1462,4,4,1974,1974,30309,3,327960,1
2799,3,1,1976,1982,30327,1,531411,0
2167,4,4,2006,2006,30308,1,352729,0
2428,3,4,1980,1980,30308,2,475943,0
1546,2,3,1955,1955,30305,2,287380,1
2968,4,2,1989,1990,30308,2,489491,1
3114,4,2,1961,1961,30305,2,543113,1
2197,2,4,2002,2002,30305,3,402976,0
3335,4,4,2020,2029,30305,3,609251,0
1500,4,3,1959,1959,30308,3,335276,1
3263,3,4,1994,1994,30305,1,534221,0
2961,4,3,1966,1966,30308,3,528022,0
1141,5,2,1975,1980,30305,3,251311,1
2941,2,2,2011,2011,30342,3,592471,1
2263,3,1,1995,2003,30305,2,408321,1
3039,3,2,2013,2025,30309,3,530589,0
2290,5,4,1951,1957,30305,1,407676,0
2378,2,2,2003,2003,30327,2,447746,0
3456,2,3,2014,2014,30305,1,571330,0
1675,3,2,2000,2000,30309,3,312842,0
934,4,1,2002,2002,30309,2,201928,1
3153,3,2,1985,1985,30308,1,527583,0
2855,2,3,1975,1988,30342,3,548657,0
2485,5,3,1978,1981,30305,1,437316,0
1921,3,4,1970,1970,30308,1,396376,1
2029,2,2,1960,1965,30342,1,404214,1
