square_footage,rooms,bathrooms,construction_year,renovation_year,zip_code,floors,broadband,lot_size,energy_efficiency,price
2383.0,5,1.0,2001,,30328,1,0,11439.0,1,369889.0
1576.0,4,2.5,1994,1983.0,30080,2,1,4465.0,1,253598.0
2650.0,3,3.0,2015,,30328,1,1,2000.0,3,472580.0
2764.0,5,3.0,1950,,30305,1,1,5882.0,5,402009.0
1029.0,5,1.0,1971,2015.0,30301,2,0,11921.0,5,255336.0
1419.0,3,2.5,1963,1985.0,30144,1,1,11736.0,5,192258.0
2277.0,3,2.0,1991,,30030,2,1,14533.0,3,393810.0
2010.0,3,3.5,1995,1986.0,30305,1,1,9802.0,5,394335.0
2190.0,6,2.0,2014,1980.0,30301,1,1,7568.0,3,461008.0
1688.0,7,2.5,1977,,30305,1,0,10348.0,3,383830.0
2728.0,3,2.0,1966,1998.0,30318,2,0,12134.0,1,331964.0
2667.0,4,2.5,2016,1998.0,30080,1,0,12923.0,4,446364.0
2240.0,4,2.5,1998,2007.0,30305,2,1,8843.0,2,412804.0
2876.0,4,3.0,2005,,30080,2,1,15606.0,1,459675.0
2481.0,4,2.0,1982,2009.0,30301,2,1,9514.0,2,396744.0
1684.0,3,3.5,1982,1998.0,30030,2,1,8521.0,4,358653.0
2421.0,5,2.5,1978,1991.0,30309,2,1,9830.0,2,510141.0
1625.0,4,3.0,2003,1996.0,30144,2,1,16299.0,2,384184.0
2727.0,4,3.0,1965,1980.0,30328,1,1,11469.0,2,461263.0
2170.0,4,3.5,2020,1992.0,30309,1,1,9222.0,3,537368.0
2089.0,7,2.0,1962,2005.0,30309,2,1,15704.0,4,477556.0
1791.0,6,2.0,1983,,30080,1,1,20571.0,4,417628.0
2934.0,5,2.0,1972,,30318,2,1,12839.0,1,405801.0
2107.0,4,2.0,1996,2008.0,30318,1,1,16935.0,2,461744.0
1943.0,7,2.5,1999,1998.0,30030,1,1,16144.0,4,522151.0
1989.0,7,3.5,2016,,30328,1,1,9577.0,2,514713.0
2519.0,3,3.5,2006,,30338,1,0,12107.0,1,448583.0
2419.0,7,2.5,1967,,30328,2,1,6870.0,2,450853.0
2448.0,6,2.5,1964,1981.0,30301,2,1,11180.0,4,361728.0
2458.0,3,3.0,2013,,30301,1,1,9495.0,4,495681.0
3485.0,6,3.5,1985,1995.0,30301,1,1,10388.0,1,517733.0
1956.0,3,2.0,1957,2011.0,30338,2,1,9000.0,4,279195.0
1893.0,3,2.5,2009,1983.0,30328,1,0,10852.0,1,343254.0
1712.0,3,3.0,1996,,30030,2,1,14129.0,4,366029.0
2570.0,5,2.0,1951,1993.0,30144,2,1,11522.0,3,349433.0
2877.0,6,2.5,2006,,30305,1,1,4543.0,1,468811.0
2132.0,5,3.5,1993,2017.0,30144,1,1,9016.0,2,367500.0
1696.0,3,3.5,1994,1983.0,30144,1,1,5922.0,5,321584.0
1705.0,3,3.5,2012,,30338,1,1,12976.0,3,400488.0
2590.0,7,3.0,1985,,30328,1,0,14013.0,4,505526.0
2646.0,7,2.0,1983,2002.0,30305,2,1,13026.0,4,505344.0
2526.0,6,2.0,1994,,30305,1,1,8850.0,1,440737.0
1801.0,3,2.5,1964,2009.0,30301,2,0,12987.0,5,402308.0
2339.0,7,2.5,1960,2007.0,30338,2,1,10120.0,2,453593.0
2270.0,6,2.5,2010,,30318,1,1,7447.0,4,440453.0
2331.0,5,2.5,1965,1981.0,30305,2,1,14968.0,3,427856.0
2723.0,3,2.5,1986,,30305,1,1,15272.0,3,477067.0
2334.0,7,3.0,1969,,30301,2,1,15796.0,2,435001.0
2607.0,5,2.0,1966,2014.0,30338,2,1,9567.0,5,435234.0
2241.0,3,2.0,1993,2001.0,30030,2,1,16717.0,1,449326.0
2373.0,4,1.5,2007,1985.0,30338,2,1,10026.0,5,419737.0
2579.0,5,2.0,1981,,30301,1,1,14614.0,2,378299.0
1326.0,3,3.0,1959,,30301,1,1,9956.0,5,242708.0
2008.0,4,2.5,1967,1991.0,30301,1,1,11104.0,1,274365.0
1918.0,5,2.0,1961,2020.0,30030,2,1,2315.0,1,326815.0
1817.0,7,3.0,2013,,30030,1,0,10792.0,1,458208.0
2035.0,3,2.5,1973,2016.0,30309,2,1,12364.0,3,360861.0
3097.0,5,1.0,1976,,30301,1,1,10360.0,2,395762.0
1681.0,7,2.0,1955,,30309,2,1,19025.0,3,350739.0
2781.0,7,2.0,1982,,30080,2,1,7350.0,5,456010.0
1190.0,7,3.0,2015,2005.0,30305,1,1,9746.0,1,409322.0
1999.0,3,2.0,1979,1992.0,30080,1,0,8381.0,3,328114.0
2298.0,7,1.5,1996,1997.0,30328,2,1,9745.0,4,501307.0
2552.0,7,1.5,1963,,30305,1,1,16126.0,3,425284.0
2627.0,4,2.5,1960,,30144,1,1,17912.0,5,299206.0
2676.0,5,1.0,2002,1999.0,30328,1,1,9197.0,4,435945.0
1991.0,5,3.0,1954,,30030,2,1,9108.0,1,277622.0
1923.0,5,2.0,1982,,30301,1,0,7371.0,3,349268.0
2715.0,4,2.5,1972,1995.0,30318,1,1,17225.0,2,440268.0
2085.0,7,2.5,1951,1998.0,30338,2,1,16484.0,1,447441.0
1435.0,7,2.5,1988,2002.0,30338,1,0,11576.0,5,378575.0
1520.0,4,1.5,2019,,30301,1,1,6416.0,2,305322.0
1648.0,7,3.0,1954,,30338,1,1,6773.0,1,275847.0
2498.0,4,3.0,2008,,30144,1,0,12683.0,2,417403.0
2285.0,6,1.0,1988,,30080,1,0,14197.0,5,393026.0
2614.0,5,2.0,2002,,30305,1,1,3735.0,3,413092.0
1944.0,5,3.5,1956,,30144,1,1,10715.0,5,339879.0
2295.0,3,2.5,2012,,30030,2,1,18473.0,3,513111.0
2575.0,6,2.0,1950,,30301,1,1,11130.0,1,311042.0
2014.0,4,2.0,2015,,30305,2,1,17959.0,2,415247.0
2474.0,4,3.0,1997,,30144,2,1,14596.0,1,405555.0
1803.0,3,3.0,1974,,30305,2,1,7663.0,3,324175.0
1982.0,7,2.5,1950,,30301,2,1,10829.0,2,316677.0
1971.0,3,3.5,1993,,30328,1,1,11485.0,5,409700.0
1482.0,6,2.5,1956,,30328,2,1,8190.0,2,253093.0
2492.0,7,2.0,1993,,30338,1,1,8121.0,2,431140.0
1918.0,3,2.5,2005,,30338,1,1,18027.0,5,467216.0
2207.0,5,2.0,1969,,30144,2,0,8091.0,3,288157.0
2488.0,5,2.0,1967,,30030,1,1,16314.0,1,405106.0
2468.0,4,1.0,1965,,30301,1,1,10254.0,3,331196.0
2599.0,6,2.0,1966,,30301,1,0,11897.0,2,356512.0
2141.0,5,3.0,1958,2005.0,30301,1,1,14247.0,4,381306.0
