square_footage,rooms,bathrooms,construction_year,renovation_year,zip_code,floors,broadband,hoa_fee,price
768.0,5,2.5,1957,,30144,1,1,77.09,107545.0
2044.0,6,3.5,1961,,30305,1,1,69.59,284167.0
2642.0,5,2.5,1979,,30318,2,1,91.29,342869.0
2162.0,6,2.0,1987,,30305,1,1,79.49,296742.0
2953.0,7,3.0,2006,1980.0,30318,2,1,64.16,482865.0
2933.0,6,2.0,1958,2006.0,30309,2,1,75.88,416321.0
1625.0,3,3.5,1957,,30144,1,0,91.7,102240.0
2694.0,5,2.0,2007,,30309,2,1,88.84,442477.0
1604.0,7,3.5,1989,,30338,1,1,80.66,339326.0
2232.0,3,3.0,1979,,30305,2,1,57.5,293959.0
2594.0,4,3.0,1965,,30328,2,0,159.57,261225.0
1699.0,4,1.0,2000,,30080,2,1,85.79,221862.0
2672.0,6,3.0,2007,1983.0,30030,2,1,97.87,468038.0
1897.0,3,3.0,1952,,30309,2,1,59.77,172569.0
1852.0,6,2.0,1953,,30144,2,1,80.69,140518.0
2624.0,3,2.5,2006,,30080,2,1,80.45,345603.0
1698.0,7,2.5,2013,2021.0,30318,1,1,17.64,363562.0
1668.0,4,3.5,1966,,30144,2,1,53.5,241876.0
2825.0,5,3.0,2000,1989.0,30305,1,1,52.95,450027.0
2265.0,6,2.5,2010,,30309,1,1,56.99,378590.0
1328.0,4,2.5,1958,2015.0,30144,1,1,42.9,211062.0
2713.0,3,2.0,1963,,30144,1,1,76.32,236489.0
1956.0,7,2.5,1959,1983.0,30080,2,1,116.92,199308.0
1358.0,3,3.0,2006,1984.0,30305,1,1,78.91,228134.0
696.0,5,2.5,2005,2002.0,30305,1,1,39.56,195789.0
2742.0,3,3.0,1959,,30338,1,1,44.07,293290.0
1684.0,6,2.5,1962,,30301,1,1,63.69,132639.0
1454.0,4,2.0,1997,,30144,2,1,32.53,188816.0
2584.0,7,3.0,2014,,30144,2,0,84.13,386478.0
2683.0,4,1.5,2006,,30080,1,1,115.59,240789.0
1728.0,6,3.5,1962,,30144,2,1,57.72,228297.0
2748.0,3,3.5,1977,2000.0,30309,2,0,77.28,390783.0
3433.0,3,3.0,1954,,30080,1,1,62.13,273637.0
3008.0,4,3.0,1967,,30309,1,1,56.11,327857.0
2915.0,7,2.5,1990,,30305,2,1,80.69,424777.0
2388.0,7,2.5,1974,,30309,2,1,55.1,289468.0
1934.0,6,3.0,1993,2000.0,30030,1,1,50.75,332246.0
2166.0,4,2.0,1971,,30144,1,0,26.42,184602.0
2464.0,4,3.0,1990,,30338,1,1,76.94,296680.0
1445.0,4,2.0,1995,,30309,2,1,107.01,273161.0
1738.0,4,3.0,1964,,30338,2,1,96.22,211905.0
1343.0,5,2.5,1953,2012.0,30328,1,1,119.76,206886.0
2341.0,6,3.0,1974,,30328,2,1,54.76,323200.0
2250.0,4,2.5,1952,,30318,2,1,100.52,230075.0
1808.0,3,2.5,1961,,30305,1,1,41.92,217014.0
2692.0,5,3.5,1970,1982.0,30318,2,1,96.28,330092.0
1573.0,4,2.5,1974,2011.0,30144,1,1,124.33,209468.0
1786.0,5,2.0,1969,,30318,2,1,89.95,229418.0
2668.0,6,1.5,1953,1989.0,30301,2,0,124.85,280978.0
2757.0,7,2.5,1962,2000.0,30318,2,1,57.04,409050.0
1723.0,5,2.5,2013,1998.0,30328,2,1,70.97,313298.0
2339.0,7,2.5,2001,,30338,2,1,47.53,380737.0
1733.0,4,1.0,1981,,30338,2,1,76.04,175521.0
2082.0,6,1.0,1951,,30318,2,1,83.09,208554.0
2286.0,7,3.0,1975,,30305,2,1,75.78,352944.0
2536.0,4,3.0,2016,2001.0,30318,1,1,60.78,361066.0
2391.0,6,1.5,2008,1982.0,30301,2,1,60.28,395011.0
2364.0,5,1.5,2004,1980.0,30328,2,1,85.36,401228.0
1553.0,7,2.0,1967,,30328,2,1,70.22,221254.0
2433.0,4,3.0,1979,,30318,1,1,40.45,251453.0
2531.0,7,3.0,1952,1996.0,30338,1,1,18.08,395056.0
2613.0,6,2.5,2011,1994.0,30030,1,1,57.14,447021.0
1768.0,6,2.5,1958,,30309,1,1,33.53,241711.0
2749.0,3,3.0,1994,,30328,1,1,49.93,363036.0
1410.0,3,2.0,1970,,30328,1,1,62.3,120639.0
1942.0,6,2.0,1991,,30328,1,1,70.62,287397.0
2035.0,5,2.5,2009,1999.0,30318,1,1,55.02,341743.0
1443.0,4,3.5,1972,,30305,1,1,140.74,201270.0
2026.0,7,2.5,1951,2013.0,30305,2,1,37.17,334738.0
2333.0,5,2.5,1997,,30301,2,1,111.28,326742.0
1105.0,5,3.0,1988,1983.0,30301,2,1,70.12,176929.0
1963.0,4,2.0,1960,,30080,2,1,55.27,225259.0
1151.0,7,2.5,1953,,30301,2,1,92.63,172054.0
3425.0,4,2.5,1987,,30080,2,1,61.41,387795.0
2327.0,4,3.5,1994,1983.0,30144,2,1,50.79,303663.0
2275.0,6,2.0,1958,,30309,1,0,128.69,199909.0
2339.0,3,2.5,1993,2004.0,30318,2,1,9.17,288167.0
2563.0,5,3.5,1982,,30318,2,0,67.65,286332.0
2787.0,5,3.0,1959,1984.0,30318,2,1,80.7,329188.0
1262.0,4,2.5,1994,,30318,1,1,117.24,209433.0
2986.0,6,2.0,1996,1994.0,30318,1,1,63.05,391355.0
2947.0,3,2.0,1961,1981.0,30030,1,1,154.83,331737.0
2160.0,7,2.0,1998,,30318,2,1,97.77,297559.0
2129.0,7,2.0,1965,,30305,1,1,3.98,261790.0
600.0,3,3.0,1992,1993.0,30318,1,1,31.39,143036.0
1454.0,5,3.0,2008,2015.0,30144,2,1,82.11,260441.0
2511.0,3,3.0,2017,2014.0,30144,1,0,40.68,263395.0
2920.0,6,2.0,1968,1988.0,30301,2,1,91.43,372931.0
2637.0,4,2.0,1974,,30338,1,1,61.39,329021.0
2155.0,5,3.0,1956,,30144,1,1,39.12,210261.0
3356.0,7,2.0,2019,,30305,1,1,46.06,500401.0
2803.0,6,1.5,1973,,30301,1,0,100.56,289862.0
1964.0,7,2.0,2007,,30305,1,1,14.31,378942.0
3509.0,6,2.0,2017,,30309,1,1,106.36,540140.0
1542.0,5,1.5,1984,,30144,2,0,107.24,201121.0
1317.0,3,2.0,1999,,30309,1,1,65.06,210872.0
1947.0,3,3.0,1984,1982.0,30309,1,1,32.87,330385.0
1745.0,5,1.5,1991,2020.0,30309,2,1,91.68,323938.0
1981.0,5,2.5,1967,,30318,2,1,60.41,241789.0
2679.0,5,2.5,2010,,30144,2,1,29.55,366270.0
2180.0,7,2.5,1958,1995.0,30301,2,1,132.27,335088.0
2195.0,3,2.5,1997,,30328,2,0,48.47,315560.0
2235.0,6,1.0,2016,2004.0,30338,1,0,30.84,333293.0
813.0,6,1.0,2008,,30305,2,1,83.55,197791.0
1291.0,6,2.5,2004,1998.0,30301,1,1,72.96,222387.0
1969.0,4,3.5,1997,,30144,1,1,119.59,188321.0
1694.0,5,2.5,2018,,30309,2,1,63.58,367821.0
2061.0,3,2.5,2012,,30309,2,1,63.9,338578.0
3042.0,3,3.5,1969,,30318,2,1,85.06,319236.0
2155.0,7,3.0,1994,,30301,2,1,80.99,376962.0
1407.0,6,3.0,1980,,30305,1,1,81.9,250349.0
1724.0,7,2.5,1969,,30301,1,1,83.16,287108.0
3226.0,6,3.0,2008,2009.0,30328,1,1,79.94,478622.0
3119.0,4,2.5,1952,,30328,2,1,62.51,284911.0
2558.0,7,3.0,1959,,30309,1,1,99.98,312824.0
1263.0,6,3.0,1957,,30144,1,1,64.2,162464.0
2384.0,3,2.5,1964,,30309,1,1,99.13,285552.0
2430.0,3,3.5,1986,,30301,2,1,116.63,286171.0
2215.0,6,3.5,2017,2019.0,30301,1,1,54.67,362603.0
1858.0,6,2.5,2019,1989.0,30030,2,1,147.13,427398.0
1982.0,3,2.0,2014,1987.0,30328,2,1,53.62,273191.0
1816.0,5,3.0,2004,2018.0,30309,2,0,53.84,378313.0
1513.0,7,2.0,1983,,30309,1,0,91.2,234879.0
3020.0,6,2.5,2005,2016.0,30305,2,1,88.25,499872.0
2729.0,7,1.5,1969,,30318,2,0,77.15,330667.0
2029.0,4,3.0,1997,,30030,2,1,99.55,340299.0
2411.0,3,3.5,1950,2013.0,30338,1,1,82.58,278668.0
2434.0,4,1.5,2015,,30030,1,1,136.97,400915.0
3606.0,6,3.0,2019,2005.0,30301,2,1,73.4,527333.0
2724.0,7,3.0,2002,1991.0,30338,2,1,49.37,548214.0
2701.0,6,1.5,1962,,30030,1,1,58.45,251056.0
